game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,result,total,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds
2015_01_PIT_NE,2015,REG,1,2015-09-10,PIT,21.0,NE,28.0,7.0,49.0,305.0,-350.0,7.5,-111.0,101.0,51.0,-107.0,-103.0
2015_01_IND_BUF,2015,REG,1,2015-09-13,IND,14.0,BUF,27.0,13.0,41.0,-109.0,-101.0,-1.0,-103.0,-107.0,44.5,102.0,-113.0
2015_01_GB_CHI,2015,REG,1,2015-09-13,GB,31.0,CHI,23.0,-8.0,54.0,-250.0,222.0,-5.5,-110.0,100.0,48.5,-107.0,-103.0
2015_01_KC_HOU,2015,REG,1,2015-09-13,KC,27.0,HOU,20.0,-7.0,47.0,-105.0,-105.0,-1.0,100.0,-110.0,41.0,-103.0,-107.0
2015_01_CAR_JAX,2015,REG,1,2015-09-13,CAR,20.0,JAX,9.0,-11.0,29.0,-145.0,131.0,-3.0,-100.0,-110.0,41.0,-107.0,-103.0
2015_01_CLE_NYJ,2015,REG,1,2015-09-13,CLE,10.0,NYJ,31.0,21.0,41.0,166.0,-185.0,3.5,-102.0,-108.0,39.0,-107.0,-103.0
2015_01_SEA_STL,2015,REG,1,2015-09-13,SEA,31.0,STL,34.0,3.0,65.0,-177.0,159.0,-3.5,-101.0,-109.0,41.5,-103.0,-107.0
2015_01_MIA_WAS,2015,REG,1,2015-09-13,MIA,17.0,WAS,10.0,-7.0,27.0,-202.0,181.0,-4.0,-110.0,100.0,45.5,-103.0,-107.0
2015_01_NO_ARI,2015,REG,1,2015-09-13,NO,19.0,ARI,31.0,12.0,50.0,118.0,-130.0,2.0,100.0,-110.0,48.5,-105.0,-105.0
2015_01_DET_SD,2015,REG,1,2015-09-13,DET,28.0,SD,33.0,5.0,61.0,162.0,-180.0,3.5,-108.0,-102.0,45.5,-104.0,-106.0
2015_01_BAL_DEN,2015,REG,1,2015-09-13,BAL,13.0,DEN,19.0,6.0,32.0,197.0,-220.0,4.5,-101.0,-109.0,46.5,-105.0,-105.0
2015_01_CIN_OAK,2015,REG,1,2015-09-13,CIN,33.0,OAK,13.0,-20.0,46.0,-150.0,136.0,-3.0,-100.0,-110.0,43.0,-110.0,100.0
2015_01_TEN_TB,2015,REG,1,2015-09-13,TEN,42.0,TB,14.0,-28.0,56.0,140.0,-155.0,3.0,-104.0,-106.0,40.5,-102.0,-108.0
2015_01_NYG_DAL,2015,REG,1,2015-09-13,NYG,26.0,DAL,27.0,1.0,53.0,266.0,-302.0,7.0,-108.0,-102.0,52.0,-104.0,-106.0
2015_01_PHI_ATL,2015,REG,1,2015-09-14,PHI,24.0,ATL,26.0,2.0,50.0,-177.0,159.0,-3.5,100.0,-110.0,55.0,-106.0,-104.0
